Subcontractor Schedule of Rates Summary,,,,,,,,,,
,,,,,,,,,,
2GFT-20: Craig Comms,,,,,,,,,,
,,,,,,,,,,
Lend Lease,,,,,,,,,,
,,,,,,,,,,
SoR Code,Asset,UoM,Subcontractor,Rate,Actual Qty,Actual Value,,,Node,Contractor
,000000015003467809,ea,Craig Comms,$ 250.00,1,$ 250.00,,,17,Matt DeMarco
,,,,,,,,,,
07-01-01-05/01-01,Service cutover on connection module,module,,$ 68.80,285,"$ 19,608.00",,,,
,000000006500563014,module,Craig Comms,$ 68.80,20,"$ 1,376.00",,,08,"Madison Rodier, Mark Rodier"
,000000006503739861,module,Craig Comms,$ 68.80,20,"$ 1,376.00",,,21,"Stephen Jablonka, Glen Turner"
,000000013002280546,module,Craig Comms,$ 68.80,15,"$ 1,032.00",,,06,"Madison Rodier, Mark Rodier"
,000000013002281077,module,Craig Comms,$ 68.80,40,"$ 2,752.00",,,07,"Stephen Jablonka, Glen Turner"
,000000013002281193,module,Craig Comms,$ 68.80,20,"$ 1,376.00",,,10,Matt DeMarco
,000000013002281425,module,Craig Comms,$ 68.80,60,"$ 4,128.00",,,13,Matt DeMarco
,000000013002281972,module,Craig Comms,$ 68.80,20,"$ 1,376.00",,,01,"Madison Rodier, Mark Rodier"
,000000013002283919,module,Craig Comms,$ 68.80,20,"$ 1,376.00",,,02,Matt DeMarco
,000000013002285242,module,Craig Comms,$ 68.80,60,"$ 4,128.00",,,19,"Madison Rodier, Mark Rodier"
,000000013002310860,module,Craig Comms,$ 68.80,10,$ 688.00,,,04,Matt DeMarco
,,,,,,,,,,
07-01-01-08/01-01,Service jumpering in external large node,cabinet,,"$ 1,305.60",21,"$ 27,417.60",,,,
,2GFT-20-01-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,01,"Madison Rodier, Mark Rodier"
,2GFT-20-02-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,02,Matt DeMarco
,2GFT-20-03-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,03,"Stephen Jablonka, Glen Turner"
,2GFT-20-04-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,04,Matt DeMarco
,2GFT-20-05-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,05,Matt DeMarco
,2GFT-20-06-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,06,"Madison Rodier, Mark Rodier"
,2GFT-20-07-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,07,"Stephen Jablonka, Glen Turner"
,2GFT-20-08-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,08,"Madison Rodier, Mark Rodier"
,2GFT-20-09-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,09,"Stephen Jablonka, Glen Turner"
,2GFT-20-10-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,10,Matt DeMarco
,2GFT-20-11-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,11,"Madison Rodier, Mark Rodier"
,2GFT-20-12-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,12,Matt DeMarco
,2GFT-20-13-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,13,Matt DeMarco
,2GFT-20-14-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,14,"Madison Rodier, Mark Rodier"
,2GFT-20-15-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,15,"Stephen Jablonka, Glen Turner"
,2GFT-20-16-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,16,Matt DeMarco
,2GFT-20-17-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,17,Matt DeMarco
,2GFT-20-18-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,18,"Stephen Jablonka, Glen Turner"
,2GFT-20-19-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,19,"Madison Rodier, Mark Rodier"
,2GFT-20-20-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,20,"Stephen Jablonka, Glen Turner"
,2GFT-20-21-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,21,"Stephen Jablonka, Glen Turner"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 8,613.00",,,,
07-01-03-07/01-01,Removal of a pair gain system.,jt,,$ 261.00,33,"$ 8,613.00",,,,
,000000015002297125,jt,Craig Comms,$ 261.00,1,$ 261.00,,,12,
,000000015002606275,jt,Craig Comms,$ 261.00,4,"$ 1,044.00",,,13,
,000000015002830807,jt,Craig Comms,$ 261.00,2,$ 522.00,,,17,
,000000015002972605,jt,Craig Comms,$ 261.00,2,$ 522.00,,,19,
,000000015002973371,jt,Craig Comms,$ 261.00,1,$ 261.00,,,05,
,000000015004252136,jt,Craig Comms,$ 261.00,2,$ 522.00,,,09,
,000000015005355445,jt,Craig Comms,$ 261.00,1,$ 261.00,,,13,
,000000015005847676,jt,Craig Comms,$ 261.00,1,$ 261.00,,,18,
,000000015005931255,jt,Craig Comms,$ 261.00,2,$ 522.00,,,13,
,000000015005973071,jt,Craig Comms,$ 261.00,1,$ 261.00,,,13,
,000000015006873593,jt,Craig Comms,$ 261.00,1,$ 261.00,,,10,
,000000015007288157,jt,Craig Comms,$ 261.00,1,$ 261.00,,,05,
,000000015007288438,jt,Craig Comms,$ 261.00,1,$ 261.00,,,15,
,000000015007288530,jt,Craig Comms,$ 261.00,1,$ 261.00,,,11,
,000000015007382230,jt,Craig Comms,$ 261.00,2,$ 522.00,,,02,
,000000015007537249,jt,Craig Comms,$ 261.00,2,$ 522.00,,,18,
,000000015007537403,jt,Craig Comms,$ 261.00,1,$ 261.00,,,18,
,000000015007563119,jt,Craig Comms,$ 261.00,1,$ 261.00,,,05,
,000000015013704147,jt,Craig Comms,$ 261.00,1,$ 261.00,,,10,
,000000015015328718,jt,Craig Comms,$ 261.00,1,$ 261.00,,,00,
,000000015015328995,jt,Craig Comms,$ 261.00,2,$ 522.00,,,00,
,000000015017093579,jt,Craig Comms,$ 261.00,2,$ 522.00,,,13,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 21,600.00",,,,
55-06-07-12/01-01,LAFHA,each,,$ 120.00,180,"$ 21,600.00",,,,
,LAFHA - Craig Comms - GFT-20,each,Craig Comms,$ 120.00,180,"$ 21,600.00",,,00,
