Subcontractor Schedule of Rates Summary,,,,,,,,,,
,,,,,,,,,,
2GFT-20: Craig Comms,,,,,,,,,,
,,,,,,,,,,
Lend Lease,,,,,,,,,,
,,,,,,,,,,
SoR Code,Asset,UoM,Subcontractor,Rate,Actual Qty,Actual Value,,,Node,Contractor
,2GFT-20-04-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,04,Tom Grieve
,2GFT-20-05-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,05,Tom Grieve
,2GFT-20-06-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,06,Tom Grieve
,2GFT-20-07-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,07,Tom Grieve
,2GFT-20-08-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,08,Tom Grieve
,2GFT-20-09-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,09,Tom Grieve
,2GFT-20-10-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,10,Tom Grieve
,2GFT-20-11-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,11,Tom Grieve
,2GFT-20-12-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,12,Tom Grieve
,2GFT-20-13-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,13,Tom Grieve
,2GFT-20-14-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,14,Tom Grieve
,2GFT-20-15-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,15,Tom Grieve
,2GFT-20-16-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,16,Tom Grieve
,2GFT-20-17-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,17,Tom Grieve
,2GFT-20-18-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,18,Tom Grieve
,2GFT-20-19-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,19,Tom Grieve
,2GFT-20-20-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,20,Tom Grieve
